学号,性别,专业,每周学习时长（小时）,上课出勤率,期中考试分数,作业完成率,期末考试分数
2023000037,女,工商管理,21.16,0.86,83.65,0.79,78.81
2023000038,女,电子商务,12.57,0.98,76.68,0.84,54.85
2023000039,女,电子商务,18.52,0.62,69.88,0.71,53.39
2023000040,男,大数据管理,16.7,0.65,77.52,0.72,69.22
2023000041,男,工商管理,13.87,0.93,98.92,0.89,90.02
2023000042,女,工商管理,20.56,0.92,69.53,0.85,72.93
2023000043,男,财务管理,7.66,0.92,90.23,0.77,73.21
2023000044,女,财务管理,28.78,0.65,87.5,0.85,78.47
2023000045,女,财务管理,18.72,0.7,71.0,0.84,55.88
2023000046,女,财务管理,20.79,0.9,72.24,0.96,68.59
2023000047,女,人工智能,26.22,0.82,57.79,0.79,62.74
2023000048,男,工商管理,15.95,0.93,74.93,0.77,79.89
2023000049,女,大数据管理,12.73,0.96,84.53,0.93,79.99
2023000050,男,工商管理,14.53,0.77,80.36,0.87,56.99
2023000051,女,人工智能,37.18,0.62,53.35,0.7,67.09
2023000052,男,电子商务,5.0,0.72,68.67,0.91,57.72
2023000053,男,人工智能,18.34,1.0,58.78,0.8,60.04
2023000054,女,大数据管理,19.35,0.64,61.3,0.78,66.48
2023000055,男,工商管理,14.87,0.77,68.59,0.95,76.25
2023000056,女,财务管理,5.0,0.68,93.32,0.98,82.99
2023000057,女,电子商务,11.46,0.85,100.0,0.97,75.72
2023000058,女,财务管理,21.1,0.61,77.22,0.91,69.41
2023000059,男,大数据管理,10.11,0.95,58.35,0.87,64.57
2023000060,女,人工智能,5.22,0.82,70.18,0.99,74.07
2023000061,女,大数据管理,11.74,0.82,63.5,0.84,58.36
2023000062,女,工商管理,29.59,0.84,93.21,0.98,87.37
2023000063,男,电子商务,19.19,0.98,87.47,1.0,74.1
2023000064,男,电子商务,21.55,0.73,76.86,0.76,62.13
2023000065,男,工商管理,16.68,0.93,62.38,0.83,72.76
2023000066,女,人工智能,29.02,0.98,61.37,0.73,80.35
2023000067,男,工商管理,11.45,0.89,77.31,0.87,70.23
2023000068,男,电子商务,11.86,0.86,81.1,0.72,79.02
2023000069,男,电子商务,11.77,0.66,86.2,0.98,76.83
2023000070,女,大数据管理,28.24,0.98,100.0,0.74,85.42
2023000071,女,人工智能,18.14,0.72,68.39,0.85,69.9
2023000072,女,财务管理,19.61,0.8,76.48,0.91,86.15
2023000073,女,人工智能,14.03,0.8,71.93,0.9,68.2
2023000074,女,人工智能,22.16,0.85,100.0,0.8,98.09
2023000075,女,人工智能,17.64,0.98,80.9,0.82,55.9
2023000076,女,大数据管理,36.71,0.72,84.8,0.87,89.77
2023000077,女,人工智能,15.88,0.95,76.17,0.88,74.11
2023000078,男,人工智能,12.7,0.89,71.53,0.89,66.13
2023000079,男,人工智能,27.25,0.94,61.27,0.8,71.0
2023000080,女,工商管理,17.28,0.64,83.55,0.88,58.55
2023000081,男,人工智能,14.85,0.86,60.81,0.71,59.48
2023000082,男,财务管理,28.14,0.94,65.22,0.85,76.13
2023000083,男,人工智能,7.66,0.99,64.43,0.81,76.77
2023000084,女,电子商务,27.81,0.89,34.29,0.89,54.08
2023000085,女,电子商务,35.31,0.67,67.56,0.98,70.96
2023000086,女,大数据管理,20.59,0.69,76.71,0.79,66.86
2023000087,女,大数据管理,17.36,0.87,59.65,0.72,69.99
2023000088,女,人工智能,20.63,0.75,77.24,0.97,77.31
2023000089,男,人工智能,32.07,0.68,67.26,0.76,67.72
2023000090,男,电子商务,27.28,0.8,74.78,0.83,79.16
2023000091,女,人工智能,18.69,0.69,78.18,0.8,71.63
2023000092,女,财务管理,25.72,0.75,77.34,0.96,84.49
2023000093,男,财务管理,19.51,0.65,61.07,0.71,54.99
2023000094,男,大数据管理,30.87,0.64,60.01,0.82,65.01
2023000095,男,财务管理,24.79,0.71,69.45,0.78,66.49
2023000096,男,财务管理,22.72,0.73,74.86,0.89,61.66
2023000097,男,工商管理,27.36,0.93,88.88,0.93,88.15
2023000098,男,财务管理,16.72,0.99,84.32,0.79,79.35
2023000099,女,财务管理,7.64,0.88,100.0,0.99,81.9
2023000100,女,大数据管理,23.58,0.92,88.69,0.75,79.41
2023000101,女,财务管理,24.62,0.83,71.35,0.95,63.99
2023000102,男,电子商务,26.72,0.78,61.48,0.8,64.57
2023000103,男,工商管理,12.61,0.7,60.69,0.72,54.88
2023000104,女,大数据管理,34.29,0.83,94.84,0.71,82.37
2023000105,男,工商管理,17.28,0.65,66.85,0.95,64.82
2023000106,男,工商管理,20.04,0.89,76.13,0.88,77.9
2023000107,男,电子商务,22.1,0.61,78.73,0.9,87.67
2023000108,女,财务管理,24.63,0.92,57.21,0.9,69.51
2023000109,女,人工智能,28.0,0.78,50.88,0.82,65.32
2023000110,男,财务管理,22.34,0.71,61.9,0.74,63.32
2023000111,女,工商管理,18.56,0.95,73.62,0.9,58.27
2023000112,男,大数据管理,32.99,0.81,66.13,0.87,74.66
2023000113,女,大数据管理,12.96,0.8,81.58,0.76,71.2
2023000114,女,工商管理,14.68,0.83,62.73,0.95,86.38
2023000115,男,大数据管理,25.01,0.95,61.98,0.86,69.22
2023000116,男,电子商务,21.86,0.78,54.81,0.71,63.05
2023000117,男,大数据管理,7.85,0.7,88.15,0.92,71.9
2023000118,男,大数据管理,32.92,0.89,69.41,0.81,68.9
2023000119,女,电子商务,14.51,0.95,71.98,0.88,80.39
2023000120,女,大数据管理,27.93,0.95,44.52,0.93,69.52
2023000121,男,人工智能,10.64,0.95,26.66,0.75,51.12
2023000122,男,大数据管理,23.51,0.79,66.43,0.98,64.61
2023000123,男,财务管理,15.06,0.99,92.77,0.97,95.27
2023000124,女,大数据管理,28.54,0.93,41.66,0.75,50.26
2023000125,女,财务管理,32.89,0.95,76.71,0.84,85.58
2023000126,女,大数据管理,18.06,0.75,68.26,0.9,85.73
2023000127,男,电子商务,25.5,0.6,51.34,0.86,53.05
2023000128,男,财务管理,8.38,0.9,88.97,0.87,69.98
2023000129,男,人工智能,16.05,0.92,100.0,0.88,85.93
2023000130,女,大数据管理,18.59,0.74,62.18,0.71,58.08
2023000131,女,大数据管理,15.87,0.74,68.17,0.86,52.99
2023000132,女,电子商务,14.74,0.63,89.54,0.89,75.57
2023000133,男,人工智能,23.63,0.75,66.21,0.91,61.77
2023000134,男,大数据管理,10.18,0.95,95.81,0.99,86.34
2023000135,男,财务管理,26.15,0.63,62.1,0.7,57.32
2023000136,女,财务管理,13.83,0.63,62.87,0.96,75.55
2023000137,女,工商管理,26.84,0.8,74.83,0.99,71.89
2023000138,女,工商管理,14.67,0.94,64.05,0.79,62.59
2023000139,男,财务管理,10.4,0.86,69.8,0.8,72.33
2023000140,男,财务管理,24.52,0.91,70.68,0.72,62.66
2023000141,女,人工智能,30.67,0.86,100.0,0.9,93.27
2023000142,女,财务管理,23.48,0.86,65.4,0.98,82.04
2023000143,女,大数据管理,16.69,0.95,76.82,0.85,60.39
2023000144,男,电子商务,15.86,0.93,57.15,0.88,65.17
2023000145,男,电子商务,13.56,0.67,58.64,0.82,60.73
2023000146,男,电子商务,25.21,0.85,83.67,0.76,84.34
2023000147,女,大数据管理,19.25,0.9,68.68,0.9,61.01
2023000148,男,电子商务,20.63,0.9,73.84,0.77,61.8
2023000149,男,大数据管理,31.62,0.65,67.64,0.88,76.14
2023000150,男,电子商务,11.22,0.93,79.45,0.88,75.2
2023000151,男,财务管理,19.48,0.74,83.88,0.85,77.5
2023000152,男,财务管理,19.32,0.9,69.87,0.85,73.66
2023000153,男,大数据管理,12.3,0.77,89.29,0.83,68.81
2023000154,男,财务管理,13.42,0.68,68.19,0.82,65.33
2023000155,女,电子商务,22.07,0.6,93.16,0.85,81.71
2023000156,男,大数据管理,15.7,0.89,73.66,0.77,63.54
2023000157,男,电子商务,11.08,0.66,56.85,0.71,71.12
2023000158,女,财务管理,17.41,0.81,60.16,0.81,66.93
2023000159,男,人工智能,20.73,0.62,66.65,0.91,57.16
2023000160,女,大数据管理,20.34,0.74,55.92,0.8,66.39
2023000161,男,电子商务,16.55,0.67,82.59,0.81,63.63
2023000162,男,财务管理,32.26,0.99,98.36,0.96,99.86
2023000163,男,工商管理,22.58,0.66,63.89,0.81,74.22
2023000164,女,人工智能,18.54,0.69,57.04,0.86,54.29
2023000165,女,财务管理,5.0,0.76,81.93,0.92,77.87
2023000166,女,人工智能,22.01,0.69,97.86,0.99,88.31
2023000167,女,工商管理,18.01,0.8,96.03,0.84,88.35
2023000168,女,电子商务,28.56,0.99,74.92,0.76,91.48
2023000169,女,电子商务,22.62,0.67,100.0,0.96,83.88
2023000170,女,大数据管理,20.91,0.72,100.0,0.8,77.23
2023000171,男,大数据管理,5.0,0.67,58.12,0.75,44.49
2023000172,男,财务管理,36.28,0.97,71.12,0.78,74.77
2023000173,女,财务管理,26.29,0.66,66.57,0.91,69.46
2023000174,女,财务管理,23.05,0.62,69.45,0.85,70.89
2023000175,女,人工智能,19.76,0.91,52.12,0.96,66.18
2023000176,女,人工智能,19.87,0.74,59.78,0.99,72.52
2023000177,男,大数据管理,25.56,0.97,92.01,0.77,84.96
2023000178,女,大数据管理,25.25,0.9,58.52,0.71,76.85
2023000179,女,人工智能,21.56,0.93,59.16,0.95,66.53
2023000180,男,人工智能,31.43,0.94,100.0,0.77,100.0
2023000181,男,工商管理,32.81,0.93,81.58,0.7,85.96
2023000182,女,人工智能,23.69,0.61,58.09,0.88,56.71
2023000183,女,人工智能,24.22,0.8,77.06,0.72,65.38
2023000184,女,工商管理,37.8,0.98,88.53,0.96,95.33
2023000185,女,人工智能,22.63,0.71,87.99,0.82,76.58
2023000186,男,电子商务,6.58,0.69,63.06,0.95,66.23
2023000187,女,人工智能,12.31,0.97,80.43,0.87,78.01
2023000188,男,大数据管理,28.11,0.73,74.23,0.86,74.44
2023000189,女,电子商务,17.49,0.95,76.17,0.94,68.24
2023000190,男,工商管理,18.29,0.84,74.46,0.99,61.42
2023000191,男,电子商务,27.84,0.94,80.92,0.87,78.23
2023000192,男,大数据管理,17.4,0.84,82.39,0.73,80.52
2023000193,女,电子商务,23.96,0.66,68.51,0.93,71.74
2023000194,女,人工智能,33.47,0.89,75.92,0.82,71.96
2023000195,女,工商管理,21.0,0.7,70.3,0.9,70.94
2023000196,女,工商管理,10.11,0.74,72.25,0.97,70.38
2023000197,男,财务管理,38.43,0.83,75.67,0.94,78.2
2023000198,女,人工智能,28.13,0.66,85.8,0.88,81.18
2023000199,男,人工智能,16.64,0.95,64.43,0.74,66.37
2023000200,男,人工智能,16.87,0.81,82.27,0.88,65.41
2023000201,男,电子商务,29.22,0.93,66.07,0.73,74.98
2023000202,女,人工智能,25.8,0.98,47.74,0.83,67.99
2023000203,男,人工智能,28.31,0.62,82.96,0.79,84.54
2023000204,男,工商管理,12.05,0.7,68.14,0.83,72.33
2023000205,女,财务管理,28.98,0.63,77.41,0.88,65.96
2023000206,女,财务管理,21.35,0.94,97.03,0.91,79.5
2023000207,男,大数据管理,18.84,0.71,52.22,0.78,62.0
2023000208,女,工商管理,28.08,0.77,75.14,0.77,78.5
2023000209,女,工商管理,23.87,0.85,71.26,0.76,75.71
2023000210,女,财务管理,23.9,0.93,65.94,0.84,90.94
2023000211,女,工商管理,25.9,0.7,61.74,0.82,70.76
2023000212,男,财务管理,22.86,0.99,88.34,0.8,91.22
2023000213,女,财务管理,17.75,0.95,84.28,0.81,85.24
2023000214,男,工商管理,8.25,0.75,79.03,0.72,71.64
2023000215,男,财务管理,15.45,0.89,100.0,0.76,79.84
2023000216,男,工商管理,8.86,0.65,82.66,0.98,77.27
2023000217,女,人工智能,24.38,0.77,46.87,0.74,52.39
2023000218,女,工商管理,9.71,0.81,80.7,0.72,65.9
2023000219,男,财务管理,22.37,0.92,80.78,0.74,72.74
2023000220,女,工商管理,12.29,0.69,87.21,0.72,71.54
2023000221,女,大数据管理,27.09,0.75,70.26,0.99,91.6
2023000222,女,财务管理,5.87,0.68,98.21,0.77,73.21
2023000223,女,财务管理,20.16,0.98,71.96,0.73,77.12
2023000224,男,人工智能,19.75,0.77,100.0,0.79,75.0
2023000225,男,人工智能,32.15,0.88,78.83,0.87,78.56
2023000226,女,工商管理,24.8,0.88,60.62,0.94,78.15
2023000227,男,工商管理,18.86,0.94,100.0,0.8,86.11
2023000228,男,人工智能,13.54,0.86,94.11,0.89,70.73
2023000229,男,工商管理,27.34,0.81,97.36,0.97,83.79
2023000230,男,工商管理,16.3,0.64,78.96,0.98,77.73
2023000231,女,大数据管理,24.97,0.8,65.61,0.83,64.26
2023000232,男,电子商务,16.16,0.78,59.07,0.84,63.73
2023000233,女,电子商务,27.68,0.9,80.9,0.78,79.84
2023000234,女,工商管理,17.64,0.61,84.95,0.83,67.53
2023000235,男,财务管理,15.72,0.96,65.63,0.86,86.01
2023000236,女,人工智能,13.49,0.82,79.71,0.99,79.37
2023000237,男,人工智能,7.45,0.95,99.21,0.9,74.21
2023000238,女,人工智能,13.71,0.9,100.0,0.83,84.32
2023000239,女,财务管理,7.17,0.98,87.31,0.7,66.39
2023000240,男,电子商务,26.87,0.73,84.6,0.95,87.17
2023000241,女,电子商务,13.31,0.75,68.45,0.85,58.07
2023000242,女,工商管理,15.94,0.92,89.79,0.93,79.69
2023000243,男,人工智能,29.07,0.9,87.12,0.9,88.7
2023000244,男,工商管理,30.42,0.93,94.41,0.74,93.43
2023000245,女,人工智能,23.19,0.67,81.96,0.76,64.78
2023000246,男,电子商务,19.9,0.89,57.64,0.93,63.47
2023000247,女,大数据管理,14.93,0.94,63.19,0.74,60.21
2023000248,女,大数据管理,27.04,0.83,79.45,0.78,72.77
2023000249,男,财务管理,31.93,0.88,87.96,0.83,97.65
2023000250,女,工商管理,23.05,0.74,73.51,0.71,73.08
2023000251,男,大数据管理,29.01,0.71,73.59,0.86,66.03
2023000252,女,人工智能,25.17,0.88,67.87,0.87,79.65
2023000253,男,大数据管理,13.71,0.63,89.4,0.72,90.1
2023000254,女,电子商务,9.64,0.62,57.97,0.72,63.2
2023000255,男,大数据管理,20.95,0.74,49.15,0.87,47.21
2023000256,女,人工智能,21.68,0.91,82.32,0.91,75.5
2023000257,女,大数据管理,24.36,0.97,70.09,0.97,85.88
2023000258,女,电子商务,28.47,0.82,85.48,0.91,77.97
2023000259,男,财务管理,27.49,0.71,98.44,0.91,90.51
2023000260,女,财务管理,17.41,0.73,70.85,0.83,73.84
2023000261,男,大数据管理,29.38,0.89,56.95,0.9,63.5
2023000262,男,工商管理,26.76,0.86,63.03,0.7,67.89
2023000263,男,财务管理,21.79,0.75,64.75,0.93,43.13
2023000264,女,人工智能,5.0,0.64,71.47,0.82,50.29
2023000265,女,人工智能,9.36,0.82,34.13,0.96,46.11
2023000266,男,工商管理,28.76,0.79,92.71,0.82,76.02
2023000267,女,电子商务,12.43,0.76,76.68,0.85,82.97
2023000268,女,大数据管理,13.68,0.89,92.38,0.97,68.63
2023000269,女,财务管理,13.65,0.91,96.24,0.79,76.63
2023000270,女,电子商务,29.78,0.97,81.27,0.96,85.49
2023000271,男,电子商务,22.31,0.77,75.48,0.81,83.77
2023000272,女,财务管理,16.75,0.7,86.15,0.95,64.26
2023000273,女,大数据管理,27.07,0.95,87.94,0.88,93.38
2023000274,男,工商管理,14.0,0.92,70.24,0.77,67.59
2023000275,女,大数据管理,29.26,0.95,75.62,0.84,72.29
2023000276,男,工商管理,14.32,0.91,62.31,0.93,69.75
2023000277,女,财务管理,10.95,0.81,100.0,0.86,82.3
2023000278,女,人工智能,25.32,0.7,97.94,0.83,80.05
2023000279,女,大数据管理,7.42,0.86,79.97,0.94,71.38
2023000280,男,财务管理,21.23,0.69,100.0,0.93,81.87
2023000281,男,工商管理,21.86,0.7,89.81,0.94,81.32
2023000282,女,大数据管理,24.29,0.66,51.62,0.72,63.68
2023000283,男,人工智能,16.77,0.7,100.0,0.91,95.71
2023000284,女,工商管理,15.0,0.88,64.56,0.89,55.83
2023000285,女,财务管理,27.14,0.77,72.82,0.82,89.39
2023000286,女,财务管理,5.0,0.77,100.0,0.95,75.0
2023000287,女,电子商务,5.0,0.9,84.71,0.78,68.54
2023000288,女,大数据管理,15.52,0.92,62.49,0.78,69.56
2023000289,女,人工智能,24.06,0.75,100.0,0.8,87.51
2023000290,男,财务管理,16.39,0.8,97.73,0.92,77.62
2023000291,男,大数据管理,19.44,0.87,79.71,0.73,71.93
2023000292,男,财务管理,30.44,0.95,68.67,0.88,73.51
2023000293,女,工商管理,17.88,0.87,42.66,0.98,53.19
2023000294,女,人工智能,18.27,0.6,68.79,0.94,73.64
2023000295,女,工商管理,17.03,0.91,77.62,0.75,75.21
2023000296,男,工商管理,24.9,0.67,88.06,0.75,72.56
2023000297,男,大数据管理,18.36,0.86,89.08,0.94,88.01
2023000298,女,大数据管理,30.19,0.74,70.32,0.78,75.25
2023000299,男,工商管理,11.1,0.81,81.55,0.98,80.42
2023000300,男,工商管理,8.38,0.78,58.0,0.8,62.53
2023000301,男,电子商务,19.88,0.61,100.0,0.73,75.0
2023000302,女,工商管理,6.31,0.79,64.85,0.76,53.49
2023000303,男,工商管理,24.09,0.81,86.69,0.76,84.65
2023000304,女,人工智能,18.88,0.69,90.61,0.97,84.59
2023000305,女,电子商务,12.46,0.93,60.81,0.97,65.09
2023000306,男,大数据管理,29.16,0.98,62.44,0.73,72.2
2023000307,男,电子商务,25.09,0.94,96.38,0.89,97.72
2023000308,女,大数据管理,14.67,0.67,53.65,0.95,53.45
2023000309,男,工商管理,11.56,0.72,66.68,0.91,68.38
2023000310,男,电子商务,26.21,0.72,56.73,0.96,65.12
2023000311,女,人工智能,9.72,0.69,76.82,0.84,64.18
2023000312,女,工商管理,28.31,0.74,84.56,0.99,90.22
2023000313,男,大数据管理,23.14,0.88,58.71,0.79,72.34
2023000314,女,电子商务,23.81,0.85,94.01,0.76,89.24
2023000315,男,大数据管理,22.22,0.65,86.3,0.98,88.78
2023000316,女,财务管理,15.09,0.73,64.5,0.76,62.43
2023000317,男,工商管理,25.57,0.71,72.02,0.9,77.9
2023000318,女,工商管理,23.76,0.63,63.86,0.91,64.46
2023000319,男,电子商务,10.48,0.74,69.2,0.84,66.4
2023000320,女,电子商务,15.74,0.63,66.19,0.71,59.92
2023000321,女,财务管理,11.88,0.7,78.35,0.75,67.74
2023000322,男,财务管理,16.51,0.8,76.93,0.75,74.99
2023000323,男,工商管理,8.6,0.73,68.63,0.75,53.32
2023000324,男,人工智能,24.24,0.92,83.98,0.9,97.4
2023000325,女,电子商务,27.11,0.72,47.43,1.0,55.7
2023000326,女,人工智能,26.06,0.77,100.0,0.73,76.45
2023000327,女,电子商务,22.1,0.61,51.72,0.81,67.19
2023000328,女,工商管理,27.53,0.93,61.93,0.98,79.06
2023000329,男,工商管理,32.54,0.78,77.18,0.82,83.09
2023000330,女,大数据管理,32.43,0.72,76.59,0.79,81.36
2023000331,男,大数据管理,34.95,0.89,52.71,0.73,68.07
2023000332,男,大数据管理,12.2,0.94,93.42,0.77,70.52
2023000333,男,大数据管理,12.87,0.63,85.49,0.96,73.71
2023000334,女,大数据管理,17.08,0.97,91.13,0.99,78.02
2023000335,男,电子商务,13.37,0.83,68.21,0.76,73.04
2023000336,男,工商管理,17.27,0.86,67.39,0.74,64.97
2023000337,女,大数据管理,18.72,0.63,69.66,0.83,59.34
2023000338,女,人工智能,13.94,0.82,83.67,0.96,72.8
2023000339,女,工商管理,23.52,0.78,71.69,0.9,75.92
2023000340,女,财务管理,21.14,0.79,89.91,0.96,77.22
2023000341,男,人工智能,32.75,0.91,81.99,0.75,76.72
2023000342,男,电子商务,25.19,0.7,66.51,0.86,71.14
2023000343,男,电子商务,32.82,0.91,83.49,0.98,88.15
2023000344,男,财务管理,22.59,0.73,72.0,0.76,65.66
2023000345,男,工商管理,24.32,0.74,78.49,0.89,72.33
2023000346,男,大数据管理,21.27,0.64,62.29,0.81,65.35
2023000347,男,大数据管理,23.7,0.77,81.98,1.0,68.22
2023000348,男,工商管理,22.8,0.95,70.99,0.72,61.07
2023000349,男,工商管理,29.12,0.94,51.01,0.72,59.77
2023000350,女,财务管理,22.77,0.78,60.77,0.92,65.69
2023000351,女,工商管理,28.74,0.86,68.34,0.99,78.51
2023000352,男,大数据管理,5.58,0.64,69.11,0.74,72.01
2023000353,男,工商管理,7.46,0.76,90.95,0.76,80.03
2023000354,男,电子商务,24.73,0.7,60.04,0.85,64.37
2023000355,男,大数据管理,6.59,0.79,55.6,0.75,53.98
2023000356,女,财务管理,17.54,0.81,69.18,0.79,59.17
2023000357,女,工商管理,17.64,0.66,63.06,0.8,62.03
2023000358,男,人工智能,13.73,0.83,70.14,0.79,63.64
2023000359,女,工商管理,33.33,0.87,52.26,0.9,71.54
2023000360,女,人工智能,18.53,0.64,57.29,0.94,54.92
2023000361,男,电子商务,27.18,0.63,80.26,0.81,79.05
2023000362,男,工商管理,15.38,0.91,70.79,0.76,81.16
2023000363,女,工商管理,15.5,0.97,82.67,0.82,74.96
2023000364,男,电子商务,19.72,0.81,74.53,0.92,76.28
2023000365,女,电子商务,25.96,0.78,30.35,0.84,55.35
2023000366,女,工商管理,10.74,0.61,65.07,0.99,58.37
2023000367,男,电子商务,34.26,0.78,62.24,0.72,72.24
2023000368,男,大数据管理,27.97,0.72,61.19,0.79,67.25
2023000369,女,财务管理,8.45,0.72,78.1,0.89,68.34
2023000370,男,财务管理,36.21,0.68,78.65,0.92,76.55
2023000371,女,工商管理,5.13,0.65,84.95,0.83,67.47
2023000372,男,电子商务,16.96,0.68,75.55,0.73,71.58
2023000373,男,财务管理,24.75,0.64,53.98,0.86,72.76
2023000374,女,电子商务,22.35,0.68,67.05,1.0,77.35
2023000375,女,人工智能,11.72,0.86,83.25,0.81,91.47
2023000376,女,人工智能,11.66,0.63,51.17,0.84,46.6
2023000377,男,人工智能,24.78,0.63,67.63,0.76,73.67
2023000378,女,人工智能,16.71,0.79,91.43,0.77,78.9
2023000379,男,大数据管理,9.74,0.91,82.21,0.81,91.51
2023000380,女,电子商务,9.51,0.78,90.21,0.72,65.21
2023000381,男,工商管理,20.62,0.64,99.98,0.94,77.33
2023000382,女,电子商务,25.35,0.7,42.75,0.9,53.58
2023000383,男,电子商务,28.98,0.76,87.45,0.73,65.48
2023000384,女,人工智能,17.5,0.6,52.84,0.94,53.95
2023000385,男,大数据管理,24.14,0.93,70.86,1.0,70.71
2023000386,女,大数据管理,8.58,0.83,74.19,0.72,66.0
2023000387,女,大数据管理,21.91,0.69,77.53,0.97,77.37
2023000388,女,财务管理,20.23,0.91,87.31,0.83,94.78
2023000389,女,工商管理,16.54,0.78,81.71,0.78,80.44
2023000390,男,电子商务,25.04,0.83,42.29,0.95,55.97
2023000391,女,财务管理,16.68,0.65,76.15,0.84,61.26
2023000392,女,电子商务,11.52,0.93,91.93,0.98,84.67
2023000393,男,大数据管理,22.2,0.94,67.85,0.82,61.19
2023000394,男,人工智能,24.61,0.7,87.32,0.89,93.63
2023000395,男,大数据管理,17.08,0.66,63.43,0.78,71.53
2023000396,女,人工智能,20.9,0.88,74.4,0.71,67.79
2023000397,男,人工智能,28.22,0.93,94.08,0.91,76.5
2023000398,女,大数据管理,17.63,0.68,57.48,0.86,71.79
2023000399,男,财务管理,25.44,0.9,73.28,0.71,72.65
2023000400,男,工商管理,14.66,0.87,72.0,0.76,78.36
2023000401,女,工商管理,24.5,0.82,60.25,0.97,57.14
2023000402,女,大数据管理,22.87,0.97,86.21,0.98,79.28
2023000403,女,财务管理,11.01,0.96,38.19,0.86,52.07
2023000404,女,大数据管理,39.09,0.64,50.48,0.78,66.34
2023000405,男,电子商务,25.65,0.76,87.67,0.93,78.78
2023000406,女,工商管理,22.81,0.76,88.54,0.87,85.05
2023000407,女,人工智能,14.48,0.97,79.59,0.84,64.99
2023000408,女,人工智能,16.46,0.94,81.53,0.76,73.31
2023000409,女,人工智能,15.85,0.99,98.25,0.92,86.62
2023000410,男,财务管理,40.0,0.89,78.71,0.71,86.38
2023000411,男,电子商务,19.71,0.99,100.0,0.97,94.95
2023000412,女,人工智能,15.71,0.72,48.46,0.9,46.98
2023000413,女,工商管理,16.64,0.99,65.97,0.98,58.05
2023000414,女,财务管理,14.13,0.65,100.0,0.85,90.51
2023000415,女,大数据管理,23.31,0.68,70.43,0.9,73.09
2023000416,男,人工智能,12.06,0.88,53.71,0.7,50.11
2023000417,男,工商管理,19.28,0.88,68.67,0.84,82.31
2023000418,男,工商管理,5.0,0.79,77.59,0.84,66.79
2023000419,男,大数据管理,17.55,0.95,67.14,0.73,77.32
2023000420,男,人工智能,21.8,0.62,100.0,0.7,81.33
2023000421,男,人工智能,21.08,0.84,72.19,0.79,87.29
2023000422,男,电子商务,28.84,0.91,71.11,0.99,91.05
2023000423,男,大数据管理,18.34,0.83,81.43,0.85,73.12
2023000424,男,大数据管理,15.49,0.78,95.45,0.87,88.53
2023000425,男,大数据管理,17.76,0.7,77.29,0.95,77.58
2023000426,男,财务管理,18.42,0.89,62.69,0.87,78.15
2023000427,女,人工智能,12.54,0.8,68.04,0.93,57.72
2023000428,男,电子商务,30.51,0.94,82.71,0.74,86.64
2023000429,男,人工智能,30.24,0.66,81.39,0.99,87.85
2023000430,男,工商管理,22.47,0.63,55.67,0.92,48.68
2023000431,女,工商管理,26.24,0.99,99.82,0.91,82.74
